sample	samples	MRPS16	primary disease or tissue	_primary_site
TCGA-WQ-A9G7-01	TCGA-WQ-A9G7-01	11.86	Liver Hepatocellular Carcinoma	Liver
TCGA-BC-A10U-01	TCGA-BC-A10U-01	11.85	Liver Hepatocellular Carcinoma	Liver
TCGA-EP-A26S-11	TCGA-EP-A26S-11	11.85	Liver Hepatocellular Carcinoma	Liver
TCGA-O8-A75V-01	TCGA-O8-A75V-01	11.85	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AACI-01	TCGA-DD-AACI-01	11.84	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AAVQ-01	TCGA-DD-AAVQ-01	11.84	Liver Hepatocellular Carcinoma	Liver
TCGA-G3-A25Y-01	TCGA-G3-A25Y-01	11.84	Liver Hepatocellular Carcinoma	Liver
TCGA-KR-A7K8-01	TCGA-KR-A7K8-01	11.84	Liver Hepatocellular Carcinoma	Liver
GTEX-YB5E-0326-SM-5IFHU	GTEX-YB5E-0326-SM-5IFHU	11.83	Liver	Liver
TCGA-3K-AAZ8-01	TCGA-3K-AAZ8-01	11.83	Liver Hepatocellular Carcinoma	Liver
TCGA-CC-A3MC-01	TCGA-CC-A3MC-01	11.83	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A3A8-01	TCGA-DD-A3A8-01	11.83	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A4NA-01	TCGA-DD-A4NA-01	11.83	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AAD5-01	TCGA-DD-AAD5-01	11.83	Liver Hepatocellular Carcinoma	Liver
TCGA-CC-A7IE-01	TCGA-CC-A7IE-01	11.82	Liver Hepatocellular Carcinoma	Liver
TCGA-5R-AA1C-01	TCGA-5R-AA1C-01	11.81	Liver Hepatocellular Carcinoma	Liver
TCGA-CC-5264-01	TCGA-CC-5264-01	11.81	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A4NH-01	TCGA-DD-A4NH-01	11.81	Liver Hepatocellular Carcinoma	Liver
TCGA-MI-A75E-01	TCGA-MI-A75E-01	11.81	Liver Hepatocellular Carcinoma	Liver
TCGA-2Y-A9HB-01	TCGA-2Y-A9HB-01	11.80	Liver Hepatocellular Carcinoma	Liver
TCGA-BC-A10W-11	TCGA-BC-A10W-11	11.80	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A1EB-01	TCGA-DD-A1EB-01	11.80	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A73F-01	TCGA-DD-A73F-01	11.80	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AADG-01	TCGA-DD-AADG-01	11.80	Liver Hepatocellular Carcinoma	Liver
TCGA-BC-A69I-01	TCGA-BC-A69I-01	11.79	Liver Hepatocellular Carcinoma	Liver
TCGA-BW-A5NQ-01	TCGA-BW-A5NQ-01	11.79	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A3A6-11	TCGA-DD-A3A6-11	11.79	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A39V-11	TCGA-DD-A39V-11	11.78	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A39Z-11	TCGA-DD-A39Z-11	11.78	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AAE0-01	TCGA-DD-AAE0-01	11.78	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AACA-01	TCGA-DD-AACA-01	11.77	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AACX-01	TCGA-DD-AACX-01	11.77	Liver Hepatocellular Carcinoma	Liver
TCGA-ED-A82E-01	TCGA-ED-A82E-01	11.77	Liver Hepatocellular Carcinoma	Liver
TCGA-LG-A6GG-01	TCGA-LG-A6GG-01	11.77	Liver Hepatocellular Carcinoma	Liver
TCGA-ZP-A9D4-01	TCGA-ZP-A9D4-01	11.77	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AACW-01	TCGA-DD-AACW-01	11.76	Liver Hepatocellular Carcinoma	Liver
TCGA-KR-A7K0-01	TCGA-KR-A7K0-01	11.76	Liver Hepatocellular Carcinoma	Liver
TCGA-G3-A25V-01	TCGA-G3-A25V-01	11.75	Liver Hepatocellular Carcinoma	Liver
TCGA-GJ-A9DB-01	TCGA-GJ-A9DB-01	11.75	Liver Hepatocellular Carcinoma	Liver
TCGA-2Y-A9H9-01	TCGA-2Y-A9H9-01	11.74	Liver Hepatocellular Carcinoma	Liver
TCGA-BC-A10X-01	TCGA-BC-A10X-01	11.74	Liver Hepatocellular Carcinoma	Liver
TCGA-CC-A9FV-01	TCGA-CC-A9FV-01	11.74	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A1EF-01	TCGA-DD-A1EF-01	11.74	Liver Hepatocellular Carcinoma	Liver
GTEX-O5YT-0826-SM-3TW8N	GTEX-O5YT-0826-SM-3TW8N	11.73	Liver	Liver
TCGA-DD-A1EI-11	TCGA-DD-A1EI-11	11.73	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A39W-11	TCGA-DD-A39W-11	11.73	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A4NO-01	TCGA-DD-A4NO-01	11.73	Liver Hepatocellular Carcinoma	Liver
TCGA-G3-A7M8-01	TCGA-G3-A7M8-01	11.73	Liver Hepatocellular Carcinoma	Liver
TCGA-GJ-A6C0-01	TCGA-GJ-A6C0-01	11.73	Liver Hepatocellular Carcinoma	Liver
TCGA-CC-A7IJ-01	TCGA-CC-A7IJ-01	11.72	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A1EJ-11	TCGA-DD-A1EJ-11	11.72	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A3A6-01	TCGA-DD-A3A6-01	11.72	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AAEH-01	TCGA-DD-AAEH-01	11.72	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A118-11	TCGA-DD-A118-11	11.71	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A1EC-01	TCGA-DD-A1EC-01	11.71	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A1EG-01	TCGA-DD-A1EG-01	11.71	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A39X-11	TCGA-DD-A39X-11	11.71	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AAE1-01	TCGA-DD-AAE1-01	11.71	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AAVW-01	TCGA-DD-AAVW-01	11.71	Liver Hepatocellular Carcinoma	Liver
TCGA-G3-A3CH-01	TCGA-G3-A3CH-01	11.71	Liver Hepatocellular Carcinoma	Liver
TCGA-HP-A5MZ-01	TCGA-HP-A5MZ-01	11.71	Liver Hepatocellular Carcinoma	Liver
TCGA-BC-A10Q-11	TCGA-BC-A10Q-11	11.70	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A1EL-11	TCGA-DD-A1EL-11	11.70	Liver Hepatocellular Carcinoma	Liver
